file,experiment,n,quota,c,replicate,rtt_ms,loss_pct,faulty_nodes,tps,tps_norm,blocks,block_interval_mean,p_d,p_f,rho,log_n,log_c,log_tps
SMOKE-n4-q0.25-c4-r0-l0-rep0.json,SMOKE,4,0.25,4,0,0,0.0,0,35.31111111111111,141.24444444444444,46,2.0,,,,1.3862943611198906,1.3862943611198906,4.950492037886287
X1-n11-q0.25-c16-r0-l0-rep0.json,X1,11,0.25,16,0,0,0.0,0,21.144295302013422,84.57718120805369,135,2.2238805970149254,,,,2.3978952727983707,2.772588722239781,4.437664504556541
X1-n11-q0.25-c16-r0-l0-rep1.json,X1,11,0.25,16,1,0,0.0,0,19.653979238754324,78.6159169550173,134,2.172932330827068,,,,2.3978952727983707,2.772588722239781,4.364574184722655
X1-n11-q0.25-c16-r0-l0-rep2.json,X1,11,0.25,16,2,0,0.0,0,21.22222222222222,84.88888888888889,137,2.1838235294117645,,,,2.3978952727983707,2.772588722239781,4.441343211830301
X1-n13-q0.25-c16-r0-l0-rep0.json,X1,13,0.25,16,0,0,0.0,0,13.046666666666667,52.18666666666667,141,2.142857142857143,,,,2.5649493574615367,2.772588722239781,3.954827034419711
X1-n13-q0.25-c16-r0-l0-rep1.json,X1,13,0.25,16,1,0,0.0,0,8.746666666666666,34.986666666666665,36,2.142857142857143,,,,2.5649493574615367,2.772588722239781,3.5549670365276693
X1-n13-q0.25-c16-r0-l0-rep2.json,X1,13,0.25,16,2,0,0.0,0,8.66326530612245,34.6530612244898,47,2.130434782608696,,,,2.5649493574615367,2.772588722239781,3.545386068760666
X1-n16-q0.25-c16-r0-l0-rep0.json,X1,16,0.25,16,0,0,0.0,0,7.234113712374582,28.93645484949833,136,2.214814814814815,,,,2.772588722239781,2.772588722239781,3.365102213682263
X1-n16-q0.25-c16-r0-l0-rep1.json,X1,16,0.25,16,1,0,0.0,0,5.429411764705883,21.71764705882353,81,2.125,,,,2.772588722239781,2.772588722239781,3.078125158572481
X1-n16-q0.25-c16-r0-l0-rep2.json,X1,16,0.25,16,2,0,0.0,0,6.647840531561462,26.591362126245848,137,2.213235294117647,,,,2.772588722239781,2.772588722239781,3.2805864309547483
X1-n4-q0.25-c16-r0-l0-rep0.json,X1,4,0.25,16,0,0,0.0,0,74.6,298.4,9,2.5,,,,1.3862943611198906,2.772588722239781,5.698434868329605
X1-n4-q0.25-c16-r0-l0-rep1.json,X1,4,0.25,16,1,0,0.0,0,79.73755656108597,318.95022624434387,97,2.3020833333333335,,,,1.3862943611198906,2.772588722239781,5.765035060028813
X1-n5-q0.25-c16-r0-l0-rep0.json,X1,5,0.25,16,0,0,0.0,0,60.50501672240803,242.02006688963212,130,2.317829457364341,,,,1.6094379124341003,2.772588722239781,5.489020643750465
X1-n5-q0.25-c16-r0-l0-rep1.json,X1,5,0.25,16,1,0,0.0,0,43.114285714285714,172.45714285714286,31,2.3333333333333335,,,,1.6094379124341003,2.772588722239781,5.150148758398326
X1-n5-q0.25-c16-r0-l0-rep2.json,X1,5,0.25,16,2,0,0.0,0,64.61204013377926,258.44816053511704,136,2.214814814814815,,,,1.6094379124341003,2.772588722239781,5.554695134321758
X1-n7-q0.25-c16-r0-l0-rep0.json,X1,7,0.25,16,0,0,0.0,0,33.17142857142857,132.68571428571428,63,2.2580645161290325,,,,1.9459101490553132,2.772588722239781,4.887983281328369
X1-n7-q0.25-c16-r0-l0-rep1.json,X1,7,0.25,16,1,0,0.0,0,23.65277777777778,94.61111111111111,34,2.1818181818181817,,,,1.9459101490553132,2.772588722239781,4.549774922766524
X1-n7-q0.25-c16-r0-l0-rep2.json,X1,7,0.25,16,2,0,0.0,0,27.85084745762712,111.40338983050847,137,2.1691176470588234,,,,1.9459101490553132,2.772588722239781,4.713157756388465
X1-n9-q0.25-c16-r0-l0-rep0.json,X1,9,0.25,16,0,0,0.0,0,18.58235294117647,74.32941176470588,79,2.1794871794871793,,,,2.1972245773362196,2.772588722239781,4.308506724871714
X1-n9-q0.25-c16-r0-l0-rep1.json,X1,9,0.25,16,1,0,0.0,0,21.48,85.92,139,2.1739130434782608,,,,2.1972245773362196,2.772588722239781,4.453416630760555
X2-n13-q0.2-c16-r0-l0-rep0.json,X2,13,0.2,16,0,0,0.0,0,6.62876254180602,33.143812709030094,139,2.1666666666666665,,,,2.5649493574615367,2.772588722239781,3.500856053933347
X2-n13-q0.2-c16-r0-l0-rep1.json,X2,13,0.2,16,1,0,0.0,0,8.234113712374581,41.170568561872905,141,2.1357142857142857,,,,2.5649493574615367,2.772588722239781,3.7177236457878124
X2-n13-q0.2-c16-r0-l0-rep2.json,X2,13,0.2,16,2,0,0.0,0,9.746543778801843,48.73271889400922,100,2.191919191919192,,,,2.5649493574615367,2.772588722239781,3.8863506503740193
