lambda,alpha_hat,alpha_se,alpha_predicted,r2,points
0.0,-1.5482744524529986,0.1398961732659162,-1.6508337269073972,0.7226899322233307,49
0.25,-1.5482744524529986,0.1398961732659162,-1.6064036977327034,0.7226899322233307,49
0.5,-1.6875739090635307,0.1948618796129718,-1.56197366855801,0.6465572841030008,43
0.75,-1.6093403126421906,0.2624172618640861,-1.5175436393833164,0.5179771276491518,37
1.0,-1.3617385293364157,0.57631579149831,-1.4731136102086226,0.22710767269492216,21
1.5,-0.8256143461103664,0.4935378144182105,-1.3842535518592354,0.3180597276863606,8
2.0,-0.6614716619840493,0.9552374024417366,-1.2953934935098481,0.137810230580568,5
