level,n,c,observed,delta_lo,delta_hi,boot_lo,boot_hi,in_delta,in_boot
0.9,11,16,84.57718120805369,32.78296521185283,155.39833077255207,36.545474712377185,164.90756369020335,1,1
0.9,11,16,78.6159169550173,32.78296521185283,155.39833077255207,36.853124967034624,168.89616133725474,1,1
0.9,11,16,84.88888888888889,32.78296521185283,155.39833077255207,36.10714412914089,167.59887296836078,1,1
0.9,13,16,52.18666666666667,25.561533150568852,129.07537689859657,28.057541015405327,139.4826380527868,1,1
0.9,13,16,34.986666666666665,25.561533150568852,129.07537689859657,27.99299175114325,141.59510497466903,1,1
0.9,13,16,34.6530612244898,25.561533150568852,129.07537689859657,29.261964404522203,143.48005083280506,1,1
0.9,16,16,28.93645484949833,18.592090757732997,103.41948638275495,19.7272143620264,105.18422215801664,1,1
0.9,16,16,21.71764705882353,18.592090757732997,103.41948638275495,19.92117601541334,109.5444669436287,1,1
0.9,16,16,26.591362126245848,18.592090757732997,103.41948638275495,20.59624942781053,106.21492792392574,1,1
0.9,13,16,33.143812709030094,25.561533150568852,129.07537689859657,28.156277485122214,141.08585091230287,1,1
0.9,13,16,41.170568561872905,25.561533150568852,129.07537689859657,28.553843427069527,136.41120895469362,1,1
0.9,13,16,48.73271889400922,25.561533150568852,129.07537689859657,28.65520358001484,133.82136998226142,1,1
0.9,13,16,78.9090909090909,25.561533150568852,129.07537689859657,28.420273200318213,141.84070354733154,1,1
0.9,13,16,86.31438127090301,25.561533150568852,129.07537689859657,27.54131295542149,141.74459908200848,1,1
0.9,13,16,66.331096196868,25.561533150568852,129.07537689859657,27.556624959392103,140.77561003959698,1,1
0.9,13,16,97.62269156208548,25.561533150568852,129.07537689859657,28.655636806815632,139.28368417625876,1,1
0.9,13,16,157.72828960748424,25.561533150568852,129.07537689859657,28.068234207131578,142.61188500153057,0,0
0.9,13,16,57.63265306122449,25.561533150568852,129.07537689859657,28.285455858504932,138.10655225261834,1,1
0.9,13,16,64.08053691275168,25.561533150568852,129.07537689859657,28.58917264386855,138.68700627066406,1,1
0.9,13,16,31.59090909090909,25.561533150568852,129.07537689859657,28.484644447038434,144.2005492022304,1,1
0.9,13,16,30.355555555555554,25.561533150568852,129.07537689859657,29.013424909945766,142.16220370651934,1,1
0.9,13,16,24.229885057471265,25.561533150568852,129.07537689859657,28.173175478261314,142.4943660953046,0,0
0.95,11,16,84.57718120805369,28.243318876918767,180.37604199058475,34.376616567073505,196.99819343839823,1,1
0.95,11,16,78.6159169550173,28.243318876918767,180.37604199058475,33.0795556821248,202.50428906724153,1,1
0.95,11,16,84.88888888888889,28.243318876918767,180.37604199058475,34.09050956669983,200.43896472862968,1,1
0.95,13,16,52.18666666666667,21.888915552471822,150.7322058786536,25.571883189197486,167.90650315713785,1,1
0.95,13,16,34.986666666666665,21.888915552471822,150.7322058786536,26.116835617277836,160.31168482426594,1,1
0.95,13,16,34.6530612244898,21.888915552471822,150.7322058786536,25.955445728605092,162.66006928569374,1,1
0.95,16,16,28.93645484949833,15.773963967034565,121.89608654899108,17.617011988020792,126.8510220370058,1,1
0.95,16,16,21.71764705882353,15.773963967034565,121.89608654899108,17.820310476682216,131.53464272199213,1,1
0.95,16,16,26.591362126245848,15.773963967034565,121.89608654899108,17.457906734655502,132.876544134325,1,1
0.95,13,16,33.143812709030094,21.888915552471822,150.7322058786536,25.980666858172775,160.662695216192,1,1
0.95,13,16,41.170568561872905,21.888915552471822,150.7322058786536,26.231084511957388,166.85949746607173,1,1
0.95,13,16,48.73271889400922,21.888915552471822,150.7322058786536,25.49423074386371,172.11121831833077,1,1
0.95,13,16,78.9090909090909,21.888915552471822,150.7322058786536,25.108160863211374,164.17769607417722,1,1
0.95,13,16,86.31438127090301,21.888915552471822,150.7322058786536,26.010611744525715,164.40979936497806,1,1
0.95,13,16,66.331096196868,21.888915552471822,150.7322058786536,25.513990974971904,167.39150641014518,1,1
0.95,13,16,97.62269156208548,21.888915552471822,150.7322058786536,25.480279839346146,165.9379682898257,1,1
0.95,13,16,157.72828960748424,21.888915552471822,150.7322058786536,25.716433834294335,157.83171951825554,0,1
0.95,13,16,57.63265306122449,21.888915552471822,150.7322058786536,26.430140081401806,161.7848592229276,1,1
0.95,13,16,64.08053691275168,21.888915552471822,150.7322058786536,25.1780915576379,167.2054032892727,1,1
0.95,13,16,31.59090909090909,21.888915552471822,150.7322058786536,26.001697906897668,162.2709489559305,1,1
0.95,13,16,30.355555555555554,21.888915552471822,150.7322058786536,25.364846125730704,161.76341223997963,1,1
0.95,13,16,24.229885057471265,21.888915552471822,150.7322058786536,25.108152921590975,169.2050919888576,1,0
