file,experiment,n,quota,c,replicate,rtt_ms,loss_pct,faulty_nodes,tps,tps_norm,blocks,block_interval_mean,p_d,p_f,rho,log_n,log_c,log_tps
X5-n13-q0.25-c16-r0-l0-rep0.json,X5,13,0.25,16,0,0,0.0,0,7.8977272727272725,31.59090909090909,41,2.2,,,,2.5649493574615367,2.772588722239781,3.4528693922064764
X5-n13-q0.25-c16-r0-l0-rep1.json,X5,13,0.25,16,1,0,0.0,0,7.588888888888889,30.355555555555554,42,2.1951219512195124,,,,2.5649493574615367,2.772588722239781,3.4129795503604154
X5-n13-q0.25-c16-r0-l0-rep2.json,X5,13,0.25,16,2,0,0.0,0,6.057471264367816,24.229885057471265,41,2.175,,,,2.5649493574615367,2.772588722239781,3.187586791006669
X5-n13-q0.25-c16-r0-l10-rep0.json,X5,13,0.25,16,0,0,10.0,3,11.50561797752809,46.02247191011236,42,2.1707317073170733,0.0,0.0,,2.5649493574615367,2.772588722239781,3.829129796987204
X5-n13-q0.25-c16-r0-l10-rep1.json,X5,13,0.25,16,1,0,10.0,3,5.471264367816092,21.885057471264368,43,2.0714285714285716,0.0,0.0875,,2.5649493574615367,2.772588722239781,3.085804096696727
X5-n13-q0.25-c16-r0-l10-rep2.json,X5,13,0.25,16,2,0,10.0,3,6.034090909090909,24.136363636363637,44,2.046511627906977,0.0,0.0,,2.5649493574615367,2.772588722239781,3.183719567883623
X5-n13-q0.25-c16-r0-l20-rep1.json,X5,13,0.25,16,1,0,20.0,3,9.704545454545455,38.81818181818182,42,2.1463414634146343,0.0,0.0,,2.5649493574615367,2.772588722239781,3.658888740430254
X5-n13-q0.25-c16-r0-l20-rep2.json,X5,13,0.25,16,2,0,20.0,3,8.057471264367816,32.229885057471265,41,2.175,0.0,0.0,,2.5649493574615367,2.772588722239781,3.472894129499897
X5-n13-q0.25-c16-r0-l25-rep1.json,X5,13,0.25,16,1,0,25.0,3,13.181818181818182,52.72727272727273,41,2.2,0.0,0.1,,2.5649493574615367,2.772588722239781,3.9651328307420943
X5-n13-q0.25-c16-r0-l25-rep2.json,X5,13,0.25,16,2,0,25.0,3,12.954022988505747,51.81609195402299,36,2.4857142857142858,0.0,0.1,,2.5649493574615367,2.772588722239781,3.9477007565050832
X5-n7-q0.25-c16-r0-l0-rep0.json,X5,7,0.25,16,0,0,0.0,0,24.144444444444446,96.57777777777778,40,2.3076923076923075,,,,1.9459101490553132,2.772588722239781,4.570348671046055
X5-n7-q0.25-c16-r0-l10-rep1.json,X5,7,0.25,16,1,0,10.0,2,28.59550561797753,114.38202247191012,41,2.225,0.0,0.0,,1.9459101490553132,2.772588722239781,4.739543920372374
X5-n7-q0.25-c16-r0-l10-rep2.json,X5,7,0.25,16,2,0,10.0,2,19.59550561797753,78.38202247191012,42,2.1707317073170733,0.0,0.0,,1.9459101490553132,2.772588722239781,4.361594595856676
X5-n7-q0.25-c16-r0-l20-rep0.json,X5,7,0.25,16,0,0,20.0,2,25.132530120481928,100.53012048192771,38,2.2432432432432434,0.0,0.0,,1.9459101490553132,2.772588722239781,4.610457388884011
X5-n7-q0.25-c16-r0-l20-rep2.json,X5,7,0.25,16,2,0,20.0,2,56.674698795180724,226.6987951807229,36,2.3714285714285714,0.0,0.0,,1.9459101490553132,2.772588722239781,5.4236222429017555
X5-n7-q0.25-c16-r0-l25-rep0.json,X5,7,0.25,16,0,0,25.0,2,19.568181818181817,78.27272727272727,42,2.1463414634146343,0.0,0.0,,1.9459101490553132,2.772588722239781,4.36019923162936
X5-n7-q0.25-c16-r0-l25-rep1.json,X5,7,0.25,16,1,0,25.0,2,31.579545454545453,126.31818181818181,38,2.3783783783783785,0.0,0.0,,1.9459101490553132,2.772588722239781,4.838803976384188
